"Panic in BeginBock or EndBlock consensus methods","Panics in BeginBlocker and EndBlocker could cause a chain halt: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/abci_panic","warning","Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt
Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt","/x/jklmint/keeper/mint.go","30","3","30","12"
"Panic in BeginBock or EndBlock consensus methods","Panics in BeginBlocker and EndBlocker could cause a chain halt: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/abci_panic","warning","Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt
Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt","/x/jklmint/keeper/mint.go","35","3","35","12"
"Panic in BeginBock or EndBlock consensus methods","Panics in BeginBlocker and EndBlocker could cause a chain halt: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/abci_panic","warning","Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt
Possible panics in BeginBock- or EndBlock-related consensus methods could cause a chain halt","/x/jklmint/keeper/mint.go","41","3","41","12"
"Using platform dependent types","Using platform dependent types might introduce non determinism: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/non_determinism","recommendation","Using platform dependent types in ABCI methods might introduce non determinism","/x/rns/types/names.go","12","13","12","17"
"Using platform dependent types","Using platform dependent types might introduce non determinism: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/non_determinism","recommendation","Using platform dependent types in ABCI methods might introduce non determinism","/x/rns/types/names.go","24","14","24","18"
"Using platform dependent types","Using platform dependent types might introduce non determinism: https://github.com/crytic/building-secure-contracts/tree/master/not-so-smart-contracts/cosmos/non_determinism","recommendation","Using platform dependent types in ABCI methods might introduce non determinism","/x/rns/types/names.go","36","15","36","19"
